id,source,target,status_code,owner_layer,source_type,editable,rule_type,notes_reason,active,created_at,updated_at,backing_type,backing_ref,read_only_reason,match_type,priority
ae62fc23-95a8-48d1-bd68-7cce4559fcef,/blog/series,,410,redirects_table,taxonomy_route_policy,false,Taxonomy policy,Taxonomy route policy (gone_410),true,2026-03-15T11:00:21.034171+00:00,2026-03-15T14:11:18.271875+00:00,table_backed,redirects:ae62fc23-95a8-48d1-bd68-7cce4559fcef,Owned by taxonomy policy; edit at the policy source of truth.,exact,300
fc0c9b2b-dab7-4242-b3b9-7838391643f0,/blog/series/amanda-knox-meredith-kercher,,410,redirects_table,taxonomy_route_policy,false,Taxonomy policy,Taxonomy route policy (gone_410),true,2026-03-15T11:00:21.034171+00:00,2026-03-15T14:11:18.271875+00:00,table_backed,redirects:fc0c9b2b-dab7-4242-b3b9-7838391643f0,Owned by taxonomy policy; edit at the policy source of truth.,exact,300
9a27e330-49c2-4984-9acb-766307541393,/blog/series/american-cases,,410,redirects_table,taxonomy_route_policy,false,Taxonomy policy,Taxonomy route policy (gone_410),true,2026-03-15T11:00:21.034171+00:00,2026-03-15T14:11:18.271875+00:00,table_backed,redirects:9a27e330-49c2-4984-9acb-766307541393,Owned by taxonomy policy; edit at the policy source of truth.,exact,300
7ac301cc-5def-4cdf-950d-4329eee19bf6,/blog/series/british-cases,/collections/british-cases,301,redirects_table,taxonomy_route_policy,false,Taxonomy policy,Taxonomy route policy (redirect_301),true,2026-03-15T11:00:21.034171+00:00,2026-03-15T14:11:18.271875+00:00,table_backed,redirects:7ac301cc-5def-4cdf-950d-4329eee19bf6,Owned by taxonomy policy; edit at the policy source of truth.,exact,300
632f1f25-ef8a-45d4-a0f3-3bf355fe7aca,/blog/series/emanuela-orlandi,,410,redirects_table,taxonomy_route_policy,false,Taxonomy policy,Taxonomy route policy (gone_410),true,2026-03-15T11:00:21.034171+00:00,2026-03-15T14:11:18.271875+00:00,table_backed,redirects:632f1f25-ef8a-45d4-a0f3-3bf355fe7aca,Owned by taxonomy policy; edit at the policy source of truth.,exact,300
c0771029-049b-48fa-8ca8-b31d54a6c73a,/blog/series/international-cases,,410,redirects_table,taxonomy_route_policy,false,Taxonomy policy,Taxonomy route policy (gone_410),true,2026-03-15T11:00:21.034171+00:00,2026-03-15T14:11:18.271875+00:00,table_backed,redirects:c0771029-049b-48fa-8ca8-b31d54a6c73a,Owned by taxonomy policy; edit at the policy source of truth.,exact,300
850d4f02-3cad-4140-b3f7-56e8c01de9ed,/blog/series/princess-diana,,410,redirects_table,taxonomy_route_policy,false,Taxonomy policy,Taxonomy route policy (gone_410),true,2026-03-15T11:00:21.034171+00:00,2026-03-15T14:11:18.271875+00:00,table_backed,redirects:850d4f02-3cad-4140-b3f7-56e8c01de9ed,Owned by taxonomy policy; edit at the policy source of truth.,exact,300
ecfbddea-794a-4bcc-900a-b9f7a86f21eb,/blog/series/survival-stories,/topics/disasters-survival,301,redirects_table,taxonomy_route_policy,false,Taxonomy policy,Taxonomy route policy (redirect_301),true,2026-03-15T11:00:21.034171+00:00,2026-03-15T14:11:18.271875+00:00,table_backed,redirects:ecfbddea-794a-4bcc-900a-b9f7a86f21eb,Owned by taxonomy policy; edit at the policy source of truth.,exact,300
4d7aeb78-a0ca-4724-b10f-4da75de6d549,/blog/series/titanic,,410,redirects_table,taxonomy_route_policy,false,Taxonomy policy,Taxonomy route policy (gone_410),true,2026-03-15T11:00:21.034171+00:00,2026-03-15T14:11:18.271875+00:00,table_backed,redirects:4d7aeb78-a0ca-4724-b10f-4da75de6d549,Owned by taxonomy policy; edit at the policy source of truth.,exact,300
eadae692-e8a9-45d1-81db-43a5afdc6013,/blog/topic/conspiracies-cover-ups,,410,redirects_table,taxonomy_route_policy,false,Taxonomy policy,Taxonomy route policy (gone_410),true,2026-03-15T11:00:21.034171+00:00,2026-03-15T14:11:18.271875+00:00,table_backed,redirects:eadae692-e8a9-45d1-81db-43a5afdc6013,Owned by taxonomy policy; edit at the policy source of truth.,exact,300
18e2b64a-3a13-4da4-8db8-345852b5ffea,/blog/topic/cults,/topics/cults-belief-moral-panics,301,redirects_table,taxonomy_route_policy,false,Taxonomy policy,Taxonomy route policy (redirect_301),true,2026-03-15T11:00:21.034171+00:00,2026-03-15T14:11:18.271875+00:00,table_backed,redirects:18e2b64a-3a13-4da4-8db8-345852b5ffea,Owned by taxonomy policy; edit at the policy source of truth.,exact,300
d717e4e2-30ff-4dc6-a22b-763119c265d9,/blog/topic/disappearances,/topics/true-crime,301,redirects_table,taxonomy_route_policy,false,Taxonomy policy,Taxonomy route policy (redirect_301),true,2026-03-15T11:00:21.034171+00:00,2026-03-15T14:11:18.271875+00:00,table_backed,redirects:d717e4e2-30ff-4dc6-a22b-763119c265d9,Owned by taxonomy policy; edit at the policy source of truth.,exact,300
98cd0761-98de-4cd5-bd92-f479395c4bcc,/blog/topic/hoaxes,/topics/scams-hoaxes-cons,301,redirects_table,taxonomy_route_policy,false,Taxonomy policy,Taxonomy route policy (redirect_301),true,2026-03-15T11:00:21.034171+00:00,2026-03-15T14:11:18.271875+00:00,table_backed,redirects:98cd0761-98de-4cd5-bd92-f479395c4bcc,Owned by taxonomy policy; edit at the policy source of truth.,exact,300
74a3df22-1206-46a3-8b5d-61fa87b79f64,/blog/topic/kidnappings,/topics/true-crime,301,redirects_table,taxonomy_route_policy,false,Taxonomy policy,Taxonomy route policy (redirect_301),true,2026-03-15T11:00:21.034171+00:00,2026-03-15T14:11:18.271875+00:00,table_backed,redirects:74a3df22-1206-46a3-8b5d-61fa87b79f64,Owned by taxonomy policy; edit at the policy source of truth.,exact,300
5709542e-e8e5-42d0-a96b-b554609c8b91,/blog/topic/media-frenzy,,410,redirects_table,taxonomy_route_policy,false,Taxonomy policy,Taxonomy route policy (gone_410),true,2026-03-15T11:00:21.034171+00:00,2026-03-15T14:11:18.271875+00:00,table_backed,redirects:5709542e-e8e5-42d0-a96b-b554609c8b91,Owned by taxonomy policy; edit at the policy source of truth.,exact,300
69cf3feb-f948-4984-8c9e-df2077d6e424,/blog/topic/murders,/topics/true-crime,301,redirects_table,taxonomy_route_policy,false,Taxonomy policy,Taxonomy route policy (redirect_301),true,2026-03-15T11:00:21.034171+00:00,2026-03-15T14:11:18.271875+00:00,table_backed,redirects:69cf3feb-f948-4984-8c9e-df2077d6e424,Owned by taxonomy policy; edit at the policy source of truth.,exact,300
298e1e25-cfca-4336-a031-314881cc2752,/blog/topic/scams-frauds,/topics/scams-hoaxes-cons,301,redirects_table,taxonomy_route_policy,false,Taxonomy policy,Taxonomy route policy (redirect_301),true,2026-03-15T11:00:21.034171+00:00,2026-03-15T14:11:18.271875+00:00,table_backed,redirects:298e1e25-cfca-4336-a031-314881cc2752,Owned by taxonomy policy; edit at the policy source of truth.,exact,300
c050abc6-ef9e-48d8-9b4e-96fa427bf8cd,/blog/topic/scandals,,410,redirects_table,taxonomy_route_policy,false,Taxonomy policy,Taxonomy route policy (gone_410),true,2026-03-15T11:00:21.034171+00:00,2026-03-15T14:11:18.271875+00:00,table_backed,redirects:c050abc6-ef9e-48d8-9b4e-96fa427bf8cd,Owned by taxonomy policy; edit at the policy source of truth.,exact,300
684b836d-13c0-48b6-b8da-eb330ebc59ff,/blog/topic/serial-killers,/topics/true-crime,301,redirects_table,taxonomy_route_policy,false,Taxonomy policy,Taxonomy route policy (redirect_301),true,2026-03-15T11:00:21.034171+00:00,2026-03-15T14:11:18.271875+00:00,table_backed,redirects:684b836d-13c0-48b6-b8da-eb330ebc59ff,Owned by taxonomy policy; edit at the policy source of truth.,exact,300
3d4f835f-eabc-4602-870c-563ba418696a,/blog/topic/survival-against-the-odds,/topics/disasters-survival,301,redirects_table,taxonomy_route_policy,false,Taxonomy policy,Taxonomy route policy (redirect_301),true,2026-03-15T11:00:21.034171+00:00,2026-03-15T14:11:18.271875+00:00,table_backed,redirects:3d4f835f-eabc-4602-870c-563ba418696a,Owned by taxonomy policy; edit at the policy source of truth.,exact,300
a0e90e7d-a467-4ce3-87f0-85c1c801da96,/blog/topic/top-episodes,/episodes,301,redirects_table,taxonomy_route_policy,false,Taxonomy policy,Taxonomy route policy (redirect_301),true,2026-03-15T11:00:21.034171+00:00,2026-03-15T14:11:18.271875+00:00,table_backed,redirects:a0e90e7d-a467-4ce3-87f0-85c1c801da96,Owned by taxonomy policy; edit at the policy source of truth.,exact,300
