id,source_path,target_url,status_code,match_type,is_active,priority,source_type,source_ref,created_at,updated_at
632f1f25-ef8a-45d4-a0f3-3bf355fe7aca,/blog/series/emanuela-orlandi,,410,exact,true,300,taxonomy_route_policy,/blog/series/emanuela-orlandi,2026-03-15T11:00:21.034171+00:00,2026-03-15T14:11:18.271875+00:00
c0771029-049b-48fa-8ca8-b31d54a6c73a,/blog/series/international-cases,,410,exact,true,300,taxonomy_route_policy,/blog/series/international-cases,2026-03-15T11:00:21.034171+00:00,2026-03-15T14:11:18.271875+00:00
850d4f02-3cad-4140-b3f7-56e8c01de9ed,/blog/series/princess-diana,,410,exact,true,300,taxonomy_route_policy,/blog/series/princess-diana,2026-03-15T11:00:21.034171+00:00,2026-03-15T14:11:18.271875+00:00
ecfbddea-794a-4bcc-900a-b9f7a86f21eb,/blog/series/survival-stories,/topics/disasters-survival,301,exact,true,300,taxonomy_route_policy,/blog/series/survival-stories,2026-03-15T11:00:21.034171+00:00,2026-03-15T14:11:18.271875+00:00
4d7aeb78-a0ca-4724-b10f-4da75de6d549,/blog/series/titanic,,410,exact,true,300,taxonomy_route_policy,/blog/series/titanic,2026-03-15T11:00:21.034171+00:00,2026-03-15T14:11:18.271875+00:00
f750d88f-e808-4972-b090-8d97459c0f71,/blog/slug-redirect-check-2026-03-07t21-06-28-972z,/blog/slug-redirect-check-2026-03-07t21-06-28-972z-new,301,exact,true,250,blog_slug,b8541bf0-88a7-4596-bcaf-1da3229c2d7f,2026-03-07T21:06:36.995701+00:00,2026-03-07T21:06:36.995701+00:00
eadae692-e8a9-45d1-81db-43a5afdc6013,/blog/topic/conspiracies-cover-ups,,410,exact,true,300,taxonomy_route_policy,/blog/topic/conspiracies-cover-ups,2026-03-15T11:00:21.034171+00:00,2026-03-15T14:11:18.271875+00:00
18e2b64a-3a13-4da4-8db8-345852b5ffea,/blog/topic/cults,/topics/cults-belief-moral-panics,301,exact,true,300,taxonomy_route_policy,/blog/topic/cults,2026-03-15T11:00:21.034171+00:00,2026-03-15T14:11:18.271875+00:00
d717e4e2-30ff-4dc6-a22b-763119c265d9,/blog/topic/disappearances,/topics/true-crime,301,exact,true,300,taxonomy_route_policy,/blog/topic/disappearances,2026-03-15T11:00:21.034171+00:00,2026-03-15T14:11:18.271875+00:00
98cd0761-98de-4cd5-bd92-f479395c4bcc,/blog/topic/hoaxes,/topics/scams-hoaxes-cons,301,exact,true,300,taxonomy_route_policy,/blog/topic/hoaxes,2026-03-15T11:00:21.034171+00:00,2026-03-15T14:11:18.271875+00:00
