source_path,still_resolves,full_chain,final_url,final_status,expected_targets,result
/podcast/the-compendium-of-fascinating-things/episode/billionaire-boys-club-greed-murder-and-high-society-crimes,true,301 https://www.thecompendiumpodcast.com/podcast/the-compendium-of-fascinating-things/episode/billionaire-boys-club-greed-murder-and-high-society-crimes | 200 https://www.thecompendiumpodcast.com/episodes/billionaire-boys-club-greed-murder-and-high-society-crimes,https://www.thecompendiumpodcast.com/episodes/billionaire-boys-club-greed-murder-and-high-society-crimes,200,/episodes/billionaire-boys-club-greed-murder-and-high-society-crimes,correct
/podcast/the-compendium-of-fascinating-things/episode/bobby-dunbar-the-missing-child-case-solved-by-a-century-late-dna-test,true,301 https://www.thecompendiumpodcast.com/podcast/the-compendium-of-fascinating-things/episode/bobby-dunbar-the-missing-child-case-solved-by-a-century-late-dna-test | 200 https://www.thecompendiumpodcast.com/episodes/bobby-dunbar-the-missing-child-case-solved-by-a-century-late-dna-test,https://www.thecompendiumpodcast.com/episodes/bobby-dunbar-the-missing-child-case-solved-by-a-century-late-dna-test,200,/episodes/bobby-dunbar-the-missing-child-case-solved-by-a-century-late-dna-test,correct
/podcast/the-compendium-of-fascinating-things/episode/body-in-room-348-how-a-locked-room-led-to-an-impossible-answer,true,301 https://www.thecompendiumpodcast.com/podcast/the-compendium-of-fascinating-things/episode/body-in-room-348-how-a-locked-room-led-to-an-impossible-answer | 200 https://www.thecompendiumpodcast.com/episodes/body-in-room-348-how-a-locked-room-led-to-an-impossible-answer,https://www.thecompendiumpodcast.com/episodes/body-in-room-348-how-a-locked-room-led-to-an-impossible-answer,200,/episodes/body-in-room-348-how-a-locked-room-led-to-an-impossible-answer,correct
/podcast/the-compendium-of-fascinating-things/episode/bone-wars-the-rivalry-that-rewrote-dinosaur-history,true,301 https://www.thecompendiumpodcast.com/podcast/the-compendium-of-fascinating-things/episode/bone-wars-the-rivalry-that-rewrote-dinosaur-history | 200 https://www.thecompendiumpodcast.com/episodes/bone-wars-the-rivalry-that-rewrote-dinosaur-history,https://www.thecompendiumpodcast.com/episodes/bone-wars-the-rivalry-that-rewrote-dinosaur-history,200,/episodes/bone-wars-the-rivalry-that-rewrote-dinosaur-history,correct
/podcast/the-compendium-of-fascinating-things/episode/chowchilla-bus-kidnapping-the-day-a-school-bus-vanished,true,301 https://www.thecompendiumpodcast.com/podcast/the-compendium-of-fascinating-things/episode/chowchilla-bus-kidnapping-the-day-a-school-bus-vanished | 200 https://www.thecompendiumpodcast.com/episodes/chowchilla-bus-kidnapping-the-day-a-school-bus-vanished,https://www.thecompendiumpodcast.com/episodes/chowchilla-bus-kidnapping-the-day-a-school-bus-vanished,200,/episodes/chowchilla-bus-kidnapping-the-day-a-school-bus-vanished,correct
/podcast/the-compendium-of-fascinating-things/episode/chris-watts-inside-the-mind-of-a-family-annihilator-and-the-depth-of-betrayal,true,301 https://www.thecompendiumpodcast.com/podcast/the-compendium-of-fascinating-things/episode/chris-watts-inside-the-mind-of-a-family-annihilator-and-the-depth-of-betrayal | 200 https://www.thecompendiumpodcast.com/episodes/chris-watts-inside-the-mind-of-a-family-annihilator-and-the-depth-of-betrayal,https://www.thecompendiumpodcast.com/episodes/chris-watts-inside-the-mind-of-a-family-annihilator-and-the-depth-of-betrayal,200,/episodes/chris-watts-inside-the-mind-of-a-family-annihilator-and-the-depth-of-betrayal,correct
/podcast/the-compendium-of-fascinating-things/episode/cocaine-queen-the-rise-and-fall-of-griselda-blanco,true,301 https://www.thecompendiumpodcast.com/podcast/the-compendium-of-fascinating-things/episode/cocaine-queen-the-rise-and-fall-of-griselda-blanco | 200 https://www.thecompendiumpodcast.com/episodes/cocaine-queen-the-rise-and-fall-of-griselda-blanco,https://www.thecompendiumpodcast.com/episodes/cocaine-queen-the-rise-and-fall-of-griselda-blanco,200,/episodes/cocaine-queen-the-rise-and-fall-of-griselda-blanco,correct
/podcast/the-compendium-of-fascinating-things/episode/db-cooper-the-man-the-myth-the-unresolved-hijacking,true,301 https://www.thecompendiumpodcast.com/podcast/the-compendium-of-fascinating-things/episode/db-cooper-the-man-the-myth-the-unresolved-hijacking | 200 https://www.thecompendiumpodcast.com/episodes/db-cooper-the-man-the-myth-the-unresolved-hijacking,https://www.thecompendiumpodcast.com/episodes/db-cooper-the-man-the-myth-the-unresolved-hijacking,200,/episodes/db-cooper-the-man-the-myth-the-unresolved-hijacking,correct
/podcast/the-compendium-of-fascinating-things/episode/dirty-pops-lou-pearlman-boy-bands-and-big-scams,true,301 https://www.thecompendiumpodcast.com/podcast/the-compendium-of-fascinating-things/episode/dirty-pops-lou-pearlman-boy-bands-and-big-scams | 301 https://www.thecompendiumpodcast.com/episodes/dirty-pops-lou-pearlman-boy-bands-and-big-scams | 200 https://www.thecompendiumpodcast.com/episodes/lou-pearlman-boy-bands-big-lies-and-bigger-scams,https://www.thecompendiumpodcast.com/episodes/lou-pearlman-boy-bands-big-lies-and-bigger-scams,200,/episodes/lou-pearlman-boy-bands-big-lies-and-bigger-scams,correct
/podcast/the-compendium-of-fascinating-things/episode/dolly-parton-the-legend-behind-the-rhinestones,true,301 https://www.thecompendiumpodcast.com/podcast/the-compendium-of-fascinating-things/episode/dolly-parton-the-legend-behind-the-rhinestones | 200 https://www.thecompendiumpodcast.com/episodes/dolly-parton-the-legend-behind-the-rhinestones,https://www.thecompendiumpodcast.com/episodes/dolly-parton-the-legend-behind-the-rhinestones,200,/episodes/dolly-parton-the-legend-behind-the-rhinestones,correct
