source_path,expected_targets,full_chain,final_url,final_status,result
/podcast/the-compendium-of-fascinating-things/episode/blood-brothers-the-lyle-and-erik-menendez-story,/episodes/the-lindbergh-baby-the-kidnapping-of-americas-most-beloved-baby,301 https://www.thecompendiumpodcast.com/podcast/the-compendium-of-fascinating-things/episode/blood-brothers-the-lyle-and-erik-menendez-story | 404 https://www.thecompendiumpodcast.com/episodes/blood-brothers-the-lyle-and-erik-menendez-story,https://www.thecompendiumpodcast.com/episodes/blood-brothers-the-lyle-and-erik-menendez-story,404,broken
/podcast/the-compendium-of-fascinating-things/episode/the-lindbergh-baby-the-kidnapping-of-americas-most-beloved-baby,/episodes/baby-jessica-the-girl-who-fell-down-a-well-and-changed-news-forever,301 https://www.thecompendiumpodcast.com/podcast/the-compendium-of-fascinating-things/episode/the-lindbergh-baby-the-kidnapping-of-americas-most-beloved-baby | 200 https://www.thecompendiumpodcast.com/episodes/the-lindbergh-baby-the-kidnapping-of-americas-most-beloved-baby,https://www.thecompendiumpodcast.com/episodes/the-lindbergh-baby-the-kidnapping-of-americas-most-beloved-baby,200,suspicious
