source_path,target_url,expected_target,status_code,match_type,priority,created_at,updated_at
/podcast/the-compendium-of-fascinating-things/episode/db-cooper-the-man-the-myth-the-unresolved-hijacking,/episodes/db-cooper-the-man-the-myth-the-unresolved-hijacking,/episodes/db-cooper-the-man-the-myth-the-unresolved-hijacking,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/dolly-parton-the-legend-behind-the-rhinestones,/episodes/dolly-parton-the-legend-behind-the-rhinestones,/episodes/dolly-parton-the-legend-behind-the-rhinestones,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/dr-donald-cline-conceived-in-deceit-the-infamous-fertility-scandal,/episodes/dr-donald-cline-conceived-in-deceit-the-infamous-fertility-scandal,/episodes/dr-donald-cline-conceived-in-deceit-the-infamous-fertility-scandal,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/elizabeth-smart-kidnapped-by-a-prophet,/episodes/elizabeth-smart-kidnapped-by-a-prophet,/episodes/elizabeth-smart-kidnapped-by-a-prophet,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/exploring-bigfoot-a-myth-or-reality,/episodes/exploring-bigfoot-a-myth-or-reality,/episodes/exploring-bigfoot-a-myth-or-reality,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/frida-kahlo-pain-politics-and-the-self-portraits-that-made-an-icon,/episodes/frida-kahlo-pain-politics-and-the-self-portraits-that-made-an-icon,/episodes/frida-kahlo-pain-politics-and-the-self-portraits-that-made-an-icon,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/fyre-festival-the-greatest-party-that-never-happened,/episodes/fyre-festival-the-greatest-party-that-never-happened,/episodes/fyre-festival-the-greatest-party-that-never-happened,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/guy-fawkes-treason-torture-and-the-birth-of-bonfire-night,/episodes/guy-fawkes-treason-torture-and-the-birth-of-bonfire-night,/episodes/guy-fawkes-treason-torture-and-the-birth-of-bonfire-night,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/gypsy-rose-blanchard-the-chilling-reality-behind-the-illusion,/episodes/gypsy-rose-blanchard-the-chilling-reality-behind-the-illusion,/episodes/gypsy-rose-blanchard-the-chilling-reality-behind-the-illusion,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
/podcast/the-compendium-of-fascinating-things/episode/hillside-strangler-murder-in-the-shadows-of-los-angeles,/episodes/hillside-strangler-murder-in-the-shadows-of-los-angeles,/episodes/hillside-strangler-murder-in-the-shadows-of-los-angeles,301,exact,100,2026-03-02T18:12:22.881561+00:00,2026-03-07T22:35:51.826853+00:00
